waypoint,actual_distance,simulated_distance,calibrated_distance,error,error_percentage,accuracy
0,23.06607609797377,23.15292084502027,14.053822952927304,9.012253145046467,39.071461945962035,60.928538054037965
5,21.369210755975924,21.449558376817297,13.0198819347281,8.349328821247825,39.07176973727458,60.92823026272542
10,18.971223088084347,19.042318042371654,11.558687051719595,7.412536036364752,39.0725258036763,60.9274741963237
15,18.00501005259536,18.072308565506436,10.969891299262406,7.035118753332954,39.07311760883391,60.92688239116609
20,17.74987130667995,17.816266032434704,10.814473481687866,6.935397824992084,39.07294709445037,60.92705290554963
25,18.37194720609589,18.44051826588644,11.193394587393069,7.17855261870282,39.07344462823705,60.92655537176295
30,19.47940418739101,19.552201776846495,11.868186478545821,7.61121770884519,39.073154577140095,60.926845422859905
35,19.81208905910582,19.88614664740902,12.070891014977276,7.741198044128543,39.073103401837464,60.926896598162536
40,17.660143545940393,17.726372419443194,10.759908058602019,6.900235487338374,39.07236353650454,60.92763646349546
45,16.020784322571078,16.080671807423062,9.760967787105798,6.25981653546528,39.07309660642557,60.92690339357443
