waypoint,actual_distance,simulated_distance,error,error_percentage,accuracy
0,23.06607609797377,4.519572845878624,-18.546503252095146,-80.40597444193968,19.594025558060324
1,23.06607609797377,49.649850076944816,26.583773978971045,115.25052577671104,-15.250525776711044
2,22.375356066218483,24.745582231957275,2.370226165738792,10.593020994724082,89.40697900527591
3,22.375356066218483,24.745582231957275,2.370226165738792,10.593020994724082,89.40697900527591
4,21.369210755975924,48.01178627082063,26.642575514844705,124.67739599317713,-24.67739599317713
5,21.369210755975924,27.088127331310698,5.718916575334774,26.7624136456957,73.2375863543043
6,20.52890803927758,27.088127331310698,6.5592192920331165,31.951135829940313,68.04886417005969
7,20.52890803927758,27.088127331310698,6.5592192920331165,31.951135829940313,68.04886417005969
8,19.74966462565046,27.94380358382557,8.19413895817511,41.49001572174917,58.50998427825083
9,19.74966462565046,27.94380358382557,8.19413895817511,41.49001572174917,58.50998427825083
10,18.971223088084347,28.87150600521906,9.900282917134714,52.18579145460047,47.81420854539953
11,18.971223088084347,28.87150600521906,9.900282917134714,52.18579145460047,47.81420854539953
12,18.304705222315,28.978189725899,10.673484503584,58.310059484443975,41.689940515556025
13,18.304705222315,28.978189725899,10.673484503584,58.310059484443975,41.689940515556025
14,18.00501005259536,29.803756816388027,11.798746763792668,65.53035365893572,34.469646341064276
15,18.00501005259536,30.925310688709274,12.920300636113915,71.75947471493635,28.240525285063654
16,17.638939080054833,30.726454363133936,13.087515283079103,74.1967259123751,25.8032740876249
17,17.638939080054833,31.63208578646825,13.993146706413416,79.33099968714171,20.669000312858287
18,17.749859877562898,31.53009723550238,13.780237357939484,77.63575291858331,22.364247081416693
19,17.749859877562898,32.46077612024087,14.710916242677975,82.8790556328483,17.120944367151694
20,17.74987130667995,33.2884657899095,15.538594483229552,87.54201207859907,12.457987921400928
21,17.74987130667995,40.352197055688805,22.602325749008855,127.33796971532263,-27.33796971532263
22,18.082746803875832,40.352197055688805,22.269450251812973,123.15302809548696,-23.15302809548696
23,18.082746803875832,34.10201952614788,16.019272722272046,88.58871329680122,11.411286703198783
24,18.37194720609589,34.10201952614788,15.730072320051988,85.62006053899765,14.379939461002351
25,18.37194720609589,35.03844264233019,16.6664954362343,90.71708757525869,9.282912424741312
26,18.66673686646802,35.03844264233019,16.371705775862168,87.70523682300076,12.29476317699924
27,18.66673686646802,35.85385698283747,17.18712011636945,92.07351150507468,7.926488494925323
28,19.03614661638192,37.3606120693138,18.324465452931882,96.2614221365705,3.738577863429498
29,19.03614661638192,36.78198547642723,17.74583886004531,93.22180175253425,6.7781982474657525
