step,waypoint,raw_distance,calibrated_distance,actual_distance,error,error_percentage,accuracy
3,0,59.955903991709114,36.39323372296743,23.06607609797377,13.32715762499366,57.778174182666376,42.221825817333624
4,0,71.2100109883235,43.22447666991236,23.06607609797377,20.158400571938593,87.39414751913264,12.605852480867355
5,0,93.29654392125313,56.63100216020065,23.06607609797377,33.56492606222688,145.5164108522792,-45.51641085227919
6,0,82.7947825802224,50.256433026195,23.06607609797377,27.190356928221227,117.88028797238621,-17.880287972386213
7,0,103.8592166835006,63.04254452688487,23.06607609797377,39.9764684289111,173.31282641707236,-73.31282641707236
8,0,94.42313504705085,57.31484297355986,23.06607609797377,34.24876687558609,148.4811145602466,-48.481114560246596
9,0,114.56356951516089,69.54008669570266,23.06607609797377,46.474010597728885,201.48208303973894,-101.48208303973894
10,0,105.96686725362416,64.32188842294987,23.06607609797377,41.2558123249761,178.8592569873651,-78.85925698736509
11,0,125.30688938312818,76.0612818555588,23.06607609797377,52.99520575758503,229.75388415648374,-129.75388415648374
12,0,117.55235077229189,71.35427691878117,23.06607609797377,48.2882008208074,209.34727092593462,-109.34727092593462
13,0,136.0785567853521,82.59968396870873,23.06607609797377,59.53360787073496,258.100283801477,-158.10028380147702
14,0,146.92469084231507,89.18328734128525,23.06607609797377,66.11721124331149,286.64264768084905,-186.64264768084905
15,0,128.55276273841514,78.03152698221798,23.06607609797377,54.96545088424421,238.29562796366838,-138.29562796366838
16,0,139.6776063051009,84.78430702719625,23.06607609797377,61.71823092922248,267.5714355015246,-167.5714355015246
17,0,157.15286611964672,95.39178973462556,23.06607609797377,72.32571363665178,313.55880961047035,-213.55880961047035
18,0,150.22859153248785,91.18875506022013,23.06607609797377,68.12267896224637,295.3370944971025,-195.3370944971025
19,0,167.34664124949606,101.57941123844411,23.06607609797377,78.51333514047033,340.38444513485024,-240.38444513485024
20,0,160.49607589146387,97.42111806611857,23.06607609797377,74.3550419681448,322.35670103714125,-222.35670103714125
21,0,177.71715248659558,107.87431155936352,23.06607609797377,84.80823546138976,367.67517414390085,-267.67517414390085
22,0,188.22318085192543,114.25147077711874,23.06607609797377,91.18539467914496,395.32252599806134,-295.32252599806134
23,0,170.19039644712342,103.30557064340391,23.06607609797377,80.23949454543015,347.86798675514103,-247.86798675514103
24,0,180.41929276421538,109.51451070787874,23.06607609797377,86.44843460990498,374.78604615155587,-274.78604615155587
25,0,197.93147280394177,120.14440399199265,23.06607609797377,97.07832789401888,420.8705784272804,-320.8705784272804
26,0,190.1483373454087,115.42004076866307,23.06607609797377,92.3539646706893,400.3887105826469,-300.3887105826469
27,0,207.8761195637866,126.18080457521846,23.06607609797377,103.11472847724468,447.0406151408768,-347.0406151408768
28,0,199.69529402548412,121.21504347346885,23.06607609797377,98.14896737549509,425.5121979074583,-325.5121979074583
29,0,217.65052461684817,132.11386844242685,23.06607609797377,109.04779234445309,472.76264884096315,-372.76264884096315
30,0,209.07504918851123,126.90855485742631,23.06607609797377,103.84247875945255,450.19568269166746,-350.19568269166746
31,0,227.44069383939072,138.05650116051015,23.06607609797377,114.99042506253639,498.52616706071507,-398.52616706071507
