waypoint,actual_distance,simulated_distance,error,error_percentage,accuracy
0,23.06607609797377,41.764554954583495,18.698478856609725,81.06484508759722,18.93515491240278
1,23.06607609797377,7.445754276571044,-15.620321821402726,-67.71989199660572,32.280108003394275
2,22.375356066218483,40.437222451923866,18.061866385705382,80.72214060975121,19.277859390248793
3,22.375356066218483,42.94002809188394,20.564672025665455,91.9076861382924,8.092313861707595
4,21.369210755975924,42.94002809188394,21.570817335908014,100.94344420219502,-0.9434442021950247
5,21.369210755975924,44.285961797174366,22.91675104119844,107.2419159644899,-7.241915964489905
6,20.52890803927758,43.940085297147114,23.411177257869532,114.04005129292487,-14.040051292924872
7,20.52890803927758,45.684868647534365,25.155960608256784,122.53920452138199,-22.53920452138199
8,19.74966462565046,45.14254945134499,25.39288482569453,128.5737520459703,-28.57375204597031
9,19.74966462565046,47.05871571182777,27.309051086177313,138.2760244480753,-38.276024448075304
10,18.971223088084347,46.53920620421137,27.56798311612702,145.3147379487737,-45.31473794877371
11,18.971223088084347,48.25975176321319,29.28852867512884,154.38397692726886,-54.38397692726886
12,18.304705222315,49.60029027194817,31.295585049633168,170.97016679340553,-70.97016679340553
13,18.304705222315,47.74001602289786,29.43531080058286,160.8073467618517,-60.807346761851704
14,18.00501005259536,49.10009360195721,31.095083549361853,172.7023948252648,-72.7023948252648
15,18.00501005259536,50.94779355635795,32.94278350376259,182.96453824536468,-82.96453824536468
16,17.638939080054833,50.44454771454093,32.8056086344861,185.98402367396872,-85.98402367396872
17,17.638939080054833,52.11216768775659,34.473228607701756,195.43822024240808,-95.43822024240808
18,17.749859877562898,51.61481425926452,33.86495438170162,190.78998152830133,-90.78998152830133
19,17.749859877562898,53.311444028653696,35.5615841510908,200.34853455966265,-100.34853455966265
