waypoint,step,actual_distance_m,simulated_distance_m,calibrated_distance_m,calibration_factor,calibration_meta,distance_error_m,distance_error_pct,distance_accuracy_pct,avg_velocity_kmh
3,105,22.375356066218483,21.87026536046615,13.778267177093674,0.63,medium_far,-8.597088889124809,-38.42213220510215,61.57786779489785,39.4476
1,114,23.06607609797377,21.236544777159374,14.016119552925188,0.66,far,-9.049956545048582,-39.23492017718424,60.76507982281576,38.799400000000006
2,125,22.375356066218483,21.673875148828007,13.654541343761645,0.63,medium_far,-8.720814722456838,-38.97508802384251,61.02491197615749,39.4476
7,133,20.52890803927758,22.22275036962638,13.48920947436321,0.607,medium,-7.039698564914371,-34.29163670783388,65.70836329216613,40.929199999999994
4,136,21.369210755975924,22.27745127662088,14.034794304271154,0.63,medium_far,-7.3344164517047705,-34.3223553525658,65.67764464743419,40.1884
9,142,19.74966462565046,22.57313934295453,13.7018955811734,0.607,medium,-6.047769044477061,-30.6221354089342,69.3778645910658,41.207
6,146,20.52890803927758,22.60676026632258,13.722303481657807,0.607,medium,-6.8066045576197745,-33.156193912490735,66.84380608750926,40.929199999999994
11,152,18.971223088084347,22.876724461553653,13.886171748163067,0.607,medium,-5.0850513399212804,-26.80402479223996,73.19597520776004,41.0218
8,156,19.74966462565046,22.891790215024756,13.895316660520026,0.607,medium,-5.854347965130435,-29.64277154117811,70.3572284588219,41.207
12,163,18.304705222315,23.18968326964919,13.45001629639653,0.58,close,-4.85468892591847,-26.521535675975755,73.47846432402424,40.6514
10,166,18.971223088084347,23.22671435838036,14.098615615536877,0.607,medium,-4.87260747254747,-25.68420312134704,74.31579687865296,41.0218
15,173,18.00501005259536,23.524049817081686,13.643948893907377,0.58,close,-4.361061158687983,-24.221375861211204,75.7786241387888,39.9106
13,176,18.304705222315,23.571127258228252,13.671253809772384,0.58,close,-4.633451412542616,-25.31289827543381,74.68710172456619,40.6514
17,183,17.638939080054833,23.78734603529355,13.796660700470257,0.58,close,-3.8422783795845756,-21.78293355482597,78.21706644517403,39.72540000000001
14,187,18.00501005259536,23.79877170024783,13.80328758614374,0.58,close,-4.201722466451619,-23.336407223199274,76.66359277680073,39.9106
19,193,17.749859877562898,23.913246188413325,13.869682789279727,0.58,close,-3.8801770882831708,-21.860325180301814,78.13967481969819,39.355000000000004
16,197,17.638939080054833,23.954995628088163,13.893897464291134,0.58,close,-3.7450416157636983,-21.23167158051127,78.76832841948872,39.72540000000001
20,203,17.74987130667995,24.038293140187854,13.942210021308954,0.58,close,-3.8076612853709957,-21.451768407684334,78.54823159231566,38.9846
18,207,17.749859877562898,24.10041381076983,13.9782400102465,0.58,close,-3.7716198673163976,-21.24873037495917,78.75126962504083,39.355000000000004
