waypoint,step,actual_distance_m,simulated_distance_m,distance_error_m,distance_error_pct,distance_accuracy_pct,actual_path_loss_db,simulated_path_loss_db,path_loss_error_db,path_loss_error_pct,path_loss_accuracy_pct,path_loss_model,actual_snr_db,simulated_snr_db,snr_error_db,snr_error_pct,snr_accuracy_pct,actual_rsrp_dbm,simulated_rsrp_dbm,actual_rssi_dbm,simulated_rssi_dbm,actual_prr_pct,simulated_prr_pct,prr_error_pct,prr_accuracy_pct,actual_speed_src_kmh,simulated_speed_src_kmh,actual_speed_dst_kmh,simulated_speed_dst_kmh,calibration_enabled,realistic_speed_enabled,dataset_snr_db,dataset_snr_vs_calculated,dataset_rsrp_dbm,rsrp_error_dbm,rsrp_accuracy_pct
3,11,333.9110593181849,259.012891298344,-74.89816801984091,-22.430574229190235,77.56942577080977,134.53379527231027,130.39719188996224,-4.136603382348028,-3.0747689634229944,96.925231036577,3GPP,-21.53379527231027,-17.397191889962244,4.136603382348028,-19.20982033142655,80.79017966857344,-114.53379527231027,-110.39719188996224,-89.98473694715331,-89.9605460100719,0.00017308475311752347,0.0013693221367180831,0.0011962373836005597,0.0,12.2232,8.26332571679295,29.2616,8.029024081910096,False,True,2.107756333333333,23.641551605643606,-81.46813333333334,-28.929058556628902,64.4903382795536
2,31,333.9110593181849,275.1682667263895,-58.74279259179542,-17.592347109359807,82.4076528906402,134.53379527231027,131.38257820511717,-3.1512170671931017,-2.342323771372623,97.65767622862738,3GPP,-21.53379527231027,-18.38257820511717,3.1512170671931017,-14.63382105821897,85.36617894178103,-114.53379527231027,-111.38257820511717,-89.98473694715331,-89.96852600722805,0.00017308475311752347,0.0008366311355178697,0.0006635463824003463,0.0,29.2616,12.2232,12.2232,26.749024081910083,False,True,1.02992,22.563715272310272,-88.4642,-22.918378205117165,74.09304757730567
1,41,326.31791501485617,285.38901411436706,-40.92890090048911,-12.54264599558555,87.45735400441446,134.15917454952825,131.97653706554462,-2.1826374839836262,-1.6269013962797234,98.37309860372028,3GPP,-21.159174549528245,-18.97653706554462,2.1826374839836262,-10.315324347245339,89.68467565275466,-114.15917454952825,-111.97653706554462,-89.98336453986781,-89.97253644815885,0.0002087404014888447,0.0006216678795843575,0.00041292747809551283,0.0,8.334,20.647199999999994,31.669200000000004,13.105024081910075,False,True,3.185226666666667,24.34440121619491,-83.09949999999999,-28.877037065544627,65.25004715365961
2,97,333.9110593181849,343.4934665194803,9.582407201295382,2.869748375768613,97.13025162423139,134.53379527231027,134.99458317973122,0.46078790742095066,0.34250717932120206,99.6574928206788,3GPP,-21.53379527231027,-21.994583179731222,-0.46078790742095066,2.139836018657916,97.86016398134208,-114.53379527231027,-114.99458317973122,-89.98473694715331,-89.9862709855612,0.00017308475311752347,0.00013746753490004505,-3.5617218217478424e-05,79.42209375698474,29.2616,8.334,12.2232,31.669200000000004,False,True,1.02992,22.563715272310272,-88.4642,-26.530383179731217,70.01003436448731
3,110,333.9110593181849,356.4414921427089,22.530432824523984,6.747435341174089,93.25256465882592,134.53379527231027,135.59719963557913,1.0634043632688588,0.7904366045099811,99.20956339549002,3GPP,-21.53379527231027,-22.59719963557913,-1.0634043632688588,4.938304417875941,95.06169558212406,-114.53379527231027,-115.59719963557913,-89.98473694715331,-89.98804728470881,0.00017308475311752347,0.00010170535017644355,-7.137940294107993e-05,58.76043287728888,12.2232,19.565999999999992,29.2616,12.229199999999999,False,True,2.107756333333333,23.641551605643606,-81.46813333333334,-34.12906630224579,58.107464961049246
4,124,339.1343425841204,368.3914609296124,29.25711834549196,8.626999590356995,91.373000409643,134.78658155942148,136.13424845797215,1.3476668985506706,0.9998524207371068,99.00014757926289,3GPP,-21.786581559421478,-23.13424845797215,-1.3476668985506706,6.185765742436449,93.81423425756356,-114.78658155942148,-116.13424845797215,-89.9855985611586,-89.98943593280238,0.00015253413985570751,7.775444636679418e-05,-7.477969348891333e-05,50.97511051647024,26.483600000000003,4.561399013175243,16.297600000000003,24.39119999999999,False,True,0.405477,22.19205855942148,-89.1921,-26.942148457972152,69.79312242006618
5,317,339.1343425841204,452.0107394059232,112.87639682180276,33.28368220148757,66.71631779851242,134.78658155942148,139.46571839922552,4.679136839804045,3.471515328654002,96.52848467134599,3GPP,-21.786581559421478,-26.465718399225523,-4.679136839804045,21.477150176323004,78.52284982367699,-114.78658155942148,-119.46571839922552,-89.9855985611586,-89.99509129409562,0.00015253413985570751,1.4699616387318944e-05,-0.00013783452346838857,9.636935312464672,16.297600000000003,18.01152,26.483600000000003,16.297600000000003,False,True,2.611090545454545,24.397672104876023,-82.83343636363635,-36.63228203558917,55.77597206667302
6,358,342.4986353523413,461.97057601866874,119.47194066632744,34.882457427435334,65.11754257256467,134.94734684989407,139.8206769665169,4.873330116622839,3.6112826449589916,96.38871735504101,3GPP,-21.947346849894075,-26.820676966516913,-4.873330116622839,22.204643458516077,77.79535654148393,-114.94734684989407,-119.82067696651691,-89.98612108564528,-89.99547633524986,0.00014075290573710246,1.2309140760058415e-05,-0.00012844376497704406,8.74521253795595,27.78,16.297600000000003,18.7052,26.483600000000003,False,True,3.0065,24.953846849894074,-86.6564,-33.16427696651691,61.72899293472045
7,370,342.4986353523413,461.6101234578842,119.11148810554289,34.77721538452508,65.22278461547492,134.94734684989407,139.8079648207748,4.860617970880725,3.6018625666552255,96.39813743334477,3GPP,-21.947346849894075,-26.8079648207748,-4.860617970880725,22.14672235384198,77.85327764615802,-114.94734684989407,-119.8079648207748,-89.98612108564528,-89.99546308164864,0.00014075290573710246,1.2387627716186896e-05,-0.00012836527802091556,8.80097476589539,18.7052,26.593599999999995,27.78,18.7052,False,True,2.0332912,23.980638049894075,-83.36974000000001,-36.43822482077479,56.293224831006086
5,1020,339.1343425841204,623.3913069718212,284.2569643877008,83.81839545406477,16.18160454593523,134.78658155942148,144.70116796589008,9.914586406468601,7.355766643653393,92.6442333563466,3GPP,-21.786581559421478,-31.70116796589008,-9.914586406468601,45.507765316129166,54.492234683870834,-114.78658155942148,-124.70116796589008,-89.9855985611586,-89.9985290633609,0.00015253413985570751,1.0726119517421802e-06,-0.00015146152790396534,0.7031946767830703,16.297600000000003,18.7052,26.483600000000003,27.78,False,True,2.611090545454545,24.397672104876023,-82.83343636363635,-41.86773160225373,49.45551767470371
